處理的字串,predict
我要聽買榜,(3 5 song)
大悲咒,(0 3 song)
我要聽wood,(0 4 song)
我要聽天生歌姬,(3 7 album)
請播放告白氣球,(3 7 song)
我要聽粵語歌,(3 5 language)
我要聽古典音樂,(3 5 category)
我要聽熱門歌曲,(3 5 keyword)
學貓叫,(0 3 song)
唱一首小蘋果,(3 6 song)
我要聽茄子蛋的歌,(3 6 artist)
播放lady gaga的歌,(3 6 artist)
我要聽快樂天堂,(3 7 song)
我要聽爵士音樂,(3 5 category)
我要聽梁靜茹的歌,(3 6 artist)
我要聽買榜,(3 5 song)
生僻字,(0 3 song)
播放音樂,(0 4 song)
我要聽兒歌,(3 5 song)
我想聽齊秦的歌,(3 5 artist)
涼涼,(0 2 song)
我要聽周杰倫的歌,(3 6 artist)
愛我你就抱抱我,(0 7 song)
抒情鋼琴曲,(0 2 theme)
我要聽吳卓源的歌,(3 6 artist)
播放韓語歌,(2 4 language)
西洋音樂,(0 2 language)
播放起風了,(2 5 song)
我要聽粵語歌,(3 5 language)
我要聽獨立音樂,(3 5 category)
心經,(0 2 song)
我要聽華語新歌,(3 5 language)
我要聽下雨天適合聽的歌曲,(3 6 theme)
a lin 的有一種悲傷,(7 9 song)
我要聽煙花易冷,(3 7 song)
我要聽煙花易冷,(3 7 song)
來首愛情的騙子我問你,(2 10 song)
我要聽光年之外,(3 7 song)
兩隻老虎,(0 4 song)
我要聽周杰倫的歌,(3 6 artist)
我要聽張惠妹的歌,(3 6 artist)
我要聽西洋排行榜,(3 5 language)
我要聽我好嗎,(3 6 song)
我要聽經典英文歌曲,(5 7 language)
我要聽八度空間,(3 7 album)
我要聽愛情的模樣,(3 8 song)
我要聽買榜,(3 5 song)
跟我說個白雪公主故事,(4 8 audiobook)
兩隻老虎,(0 4 song)
我要聽橄欖樹,(3 6 song)
播放一曲相思,(2 6 song)
生僻字,(0 3 song)
我要聽兒歌,(3 5 song)
播放起風了,(2 5 song)
我要聽你喜歡我的歌嗎,(3 10 song)
我要聽我好嗎,(3 6 song)
我要聽日文歌,(3 5 language)
我要聽集感情歌,(4 7 theme)
我要聽歪批三國,(3 7 song)
我要聽白雪公主,(3 7 audiobook)
播放音樂,(0 4 song)
我要聽愛情的模樣,(3 8 song)
我要聽張清芳的歌,(3 6 artist)
我要聽快樂天堂,(3 7 song)
我要聽台語歌,(3 5 language)
我要聽快樂天堂,(3 7 song)
我要聽張韶涵的歌,(3 6 artist)
我要聽搖滾音樂,(3 5 category)
播放一曲相思,(2 6 song)
我要聽林俊傑的歌,(3 6 artist)
播放小紅帽的兒童故事,(6 10 audiobook_category)
我要聽張雨生的歌,(3 6 artist)
放首歌來聽吧,(0 2 song)
我要聽粵語歌,(3 5 language)
我要聽華語音樂排行榜,(3 5 language) (7 10 keyword)
儿歌多多,(0 2 theme)
涼涼,(0 2 song)
西洋音樂,(0 2 language)
往後餘生,(0 4 song)
我要聽despacito,(3 6 song)
我要聽節奏藍調音樂,(3 7 category)
我想聽巫娜森林,(5 7 song)
我要聽煙花易冷,(3 7 song)
我想聽鄉村歌曲,(3 5 category)
播放一曲相思,(2 6 song)
我要聽李千娜的歌,(3 6 artist)
我要聽獨立音樂,(3 5 category)
我要聽我好嗎,(3 6 song)
我要聽華語音樂,(3 5 language)
愛我你就抱抱我,(0 7 song)
我要聽陳綺貞的歌,(3 6 artist)
愛我你就抱抱我,(0 7 song)
我要聽黃乙玲的歌,(3 6 artist)
我要聽新歌,(3 5 keyword)
思鄉情歌,(2 4 theme)
我要聽故事,(0 5 general_audiobook)
bruno mars,(0 3 artist)
我要聽林宥嘉的歌,(3 6 artist)
我要聽張惠妹的歌,(3 6 artist)
故事,(0 2 general_audiobook)
播放一曲相思,(2 6 song)
我要聽吻別,(3 5 song)
我要聽動力火車的歌,(3 7 artist)
我要聽新歌,(3 5 keyword)
我要聽搖滾音樂,(3 5 category)
betty who,(0 3 artist)
西洋音樂,(0 2 language)
我要聽把悲傷留給自己,(3 10 song)
播放韓語歌,(2 4 language)
我要聽快樂頌,(3 6 song)
我要聽鄧紫棋的歌,(3 6 artist)
往後餘生,(0 4 song)
我要聽小雞嗶嗶,(3 7 song)
楊乃文的,(0 3 artist)
我要聽梁靜茹的歌,(3 6 artist)
我要聽光年之外,(3 7 song)
心經,(0 2 song)
我要聽周杰倫的公公很累,(3 6 artist)
播放日語歌,(2 4 language)
輕音樂,(0 3 category)
我要聽老歌,(3 5 theme)
我要聽徐佳瑩的歌,(3 6 artist)
播放小紅帽的兒童故事,(6 10 audiobook_category)
我要聽陳奕迅的歌,(3 6 artist)
我要聽鬼故事,(3 6 audiobook_category)
唱一首小蘋果,(3 6 song)
我要聽蔡依林的腦公,(3 6 artist) (7 9 song)
我要聽盧廣仲的歌,(3 6 artist)
唱大象歌,(1 3 song)
播費玉清的晚安曲,(1 4 artist) (5 8 song)
我要聽華語新歌,(3 5 language)
我要聽天生歌姬,(3 7 album)
我要聽于文文的歌,(3 6 artist)
我要聽鬼故事,(3 6 audiobook_category)
我要聽茄子蛋的歌,(3 6 artist)
我要聽周杰倫的歌,(3 6 artist)
我要聽獨立音樂,(3 5 category)
我要聽煙花易冷,(3 7 song)
我要聽有聲書,(0 6 general_audiobook)
唱一首小蘋果,(3 6 song)
我要聽最新的流行歌,(6 8 keyword)
我要聽節奏藍調音樂,(3 7 category)
我要聽迪士尼音樂,(3 5 song)
播放一曲相思,(2 6 song)
我要聽買榜,(3 5 song)
播放一曲相思,(2 6 song)
我要聽走到飛,(3 6 song)
我要聽范曉萱的豆豆龍,(3 6 artist) (7 10 song)
我要聽黃明志的歌,(3 6 artist)
播放一曲相思,(2 6 song)
高勝美的哭砂,(0 3 artist) (4 6 song)
葉倩文的哭砂,(0 3 artist) (4 6 song)
我要聽煙花易冷,(3 7 song)
學貓叫,(0 3 song)
大悲咒,(0 3 song)
我要聽蔡小虎的歌,(3 6 artist)
播放一曲相思,(2 6 song)
我要聽新歌,(3 5 keyword)
我想聽李白,(3 5 song)
兩隻老虎,(0 4 song)
我想聽李白,(3 5 song)
我要聽你喜歡我的歌嗎,(3 10 song)
我要聽光年之外,(3 7 song)
我要聽baby song,(3 5 song)
我要聽林俊傑的歌,(3 6 artist)
我要聽小星星,(3 6 song)
播放韓語歌,(2 4 language)
西洋音樂,(0 2 language)
我要聽光年之外,(3 7 song)
我要聽煙花易冷,(3 7 song)
我要聽 Misia 的歌,(4 7 song)
播放蔡依林的你也有今天,(2 5 artist) (6 11 song)
我要聽新歌,(3 5 keyword)
我要聽廣播,(3 5 song)
吳宗憲,(0 3 artist)
我要聽華語音樂,(3 5 language)
我要聽費玉清的歌,(3 6 artist)
蘇芮,(0 2 artist)
涼涼,(0 2 song)
我要聽歪批三國,(3 7 song)
我要聽劉德華的歌,(3 6 artist)
我要聽相聲,(3 5 audiobook_category)
沙漠駱駝,(0 4 song)
萬芳,(0 2 artist)
西洋音樂,(0 2 language)
我要聽黃明志的歌,(3 6 artist)
兩隻老虎,(0 4 song)
我要聽于文文的歌,(3 6 artist)
沙漠駱駝,(0 4 song)
愛江山更愛美人,(0 7 song)
我要聽王力宏的歌,(3 6 artist)
下雨天適合聽的歌曲,(0 3 theme)
播放韓語歌,(2 4 language)
播放一曲相思,(2 6 song)
我要聽對面的女孩看過來,(3 11 song)
我要聽光年之外,(3 7 song)
我要聽林俊傑的歌,(3 6 artist)
我要聽 lady gaga 的歌,(4 7 artist)
我要聽煙花易冷,(3 7 song)
我想聽齊秦的歌,(3 5 artist)
播放芭比的触电,(2 4 artist)
我要聽西遊記,(3 6 audiobook)
胡彥斌,(0 3 artist)
我要聽兒歌,(3 5 song)
我要聽于文文的歌,(3 6 artist)
愛我你就抱抱我,(0 7 song)
我要聽鄧麗君的歌,(3 6 artist)
我要聽林俊傑的歌,(3 6 artist)
來首愛情的騙子我問你,(2 10 song)
我要聽米津玄師,(3 7 artist)
播放音樂,(0 4 song)
我要聽華語新歌,(3 5 language)
我要聽林俊傑的歌,(3 6 artist)
我要聽熱門歌曲,(3 5 keyword)
幫我播放陳奕迅十年,(4 7 artist)
烽火天榜,(0 4 song)
我要聽薛之謙的歌,(3 6 artist)
你放龍貓,(2 4 song)
我要聽劉德華的歌,(3 6 artist)
我要聽新歌,(3 5 keyword)
阿拉丁主題曲,(3 6 song)
蘇永康,(0 3 artist)
學貓叫,(0 3 song)
我要聽買榜,(3 5 song)
播放一曲相思,(2 6 song)
播放我的滑板鞋,(2 7 song)
小說,(0 2 audiobook_category)
我要聽新歌,(3 5 keyword)
我想聽無言的歌,(3 7 song)
我想聽鳳飛飛的掌聲響起,(3 6 artist) (7 11 song)
播放韓語歌,(2 4 language)
我想聽無言的歌,(3 7 song)
我要聽江蕙的歌,(3 5 artist)
我要聽周杰倫的歌,(3 6 artist)
我要聽愛情的模樣,(3 8 song)
我要聽,(0 3 playlist)
我要聽陳奕迅的歌,(3 6 artist)
我要聽節奏藍調音樂,(3 7 category)
我要聽逆光,(3 5 song)
我要聽田馥甄的歌,(3 6 artist)
播放帕格尼尼主題狂想曲,(8 11 song)
沙漠駱駝,(0 4 song)
我要聽日文歌,(3 5 language)
我要聽熱門歌曲,(3 5 keyword)
西洋音樂,(0 2 language)
愛我你就抱抱我,(0 7 song)
我要聽日文歌,(3 5 language)
黃小琥,(0 3 artist)
我要聽我好嗎,(3 6 song)
唱一首小蘋果,(3 6 song)
唱一首小蘋果,(3 6 song)
我要聽陳綺貞的歌,(3 6 artist)
蕭亞軒,(0 3 artist)
愛我你就抱抱我,(0 7 song)
播放韓語歌,(2 4 language)
我要聽買榜,(3 5 song)
我要聽陳綺貞的歌,(3 6 artist)
我要聽藥師琉璃光如來功德經,(3 13 song)
往後餘生,(0 4 song)
我要聽新歌,(3 5 keyword)
我要聽華語音樂,(3 5 language)
我要聽八度空間,(3 7 album)
播放音樂,(0 4 song)
我要聽搖滾音樂,(3 5 category)
我要聽林俊傑的歌,(3 6 artist)
播放一曲相思,(2 6 song)
我要聽鄧麗君的歌,(3 6 artist)
學貓叫,(0 3 song)
我要聽英文兒歌,(3 7 theme)
我要聽橄欖樹,(3 6 song)
播放韓語歌,(2 4 language)
Celine Dion,(0 3 artist)
我要聽台語歌,(3 5 language)
我要聽買榜,(3 5 song)
我要聽相聲,(3 5 audiobook_category)
我要聽你喜歡我的歌嗎,(3 10 song)
我要聽周杰倫的歌,(3 6 artist)
游鴻明,(0 3 artist)
我要聽節奏藍調音樂,(3 7 category)
我要聽獨立音樂,(3 5 category)
我要聽蕭敬騰的歌,(3 6 artist)
我要聽周杰倫的歌,(3 6 artist)
阿拉丁主題曲,(3 6 song)
李宗盛,(0 3 artist)
唱一首小苹果,(3 6 song)
學貓叫,(0 3 song)
我要聽西遊記,(3 6 audiobook)
幫我播音樂,(2 5 artist)
陳昇,(0 2 artist)
我要聽買榜,(3 5 song)
我要聽防彈少年團的歌,(3 8 artist)
我要聽蕭煌奇的歌,(3 6 artist)
我要聽準備中,(3 6 album)
我要聽愛的可能,(3 7 song)
我要聽光年之外,(3 7 song)
我要聽華語新歌,(3 5 language)
兩隻老虎,(0 4 song)
唱一首小蘋果,(3 6 song)
我要聽徐佳瑩的歌,(3 6 artist)
播放小紅帽的兒童故事,(6 10 audiobook_category)
我要聽蔡小虎的歌,(3 6 artist)
我要聽田馥甄的歌,(3 6 artist)
沙漠駱駝,(0 4 song)
吳宗憲,(0 3 artist)
我要聽光年之外,(3 7 song)
學貓叫,(0 3 song)
我要聽劉德華的歌,(3 6 artist)
我要聽英文版綠野仙蹤,(3 10 audiobook)
我要聽王力宏的歌,(3 6 artist)
我要聽江蕙的歌,(3 5 artist)
我要聽周杰倫的歌,(3 6 artist)
我要聽鄧麗君的歌,(3 6 artist)
我要聽莫文蔚的歌,(3 6 artist)
播放音樂,(0 4 song)
播放音樂,(0 4 song)
我要聽熱門歌曲,(3 5 keyword)
我要聽周杰倫的歌,(3 6 artist)
我要聽田馥甄的歌,(3 6 artist)
我要聽對面的女孩看過來,(3 11 song)
播放韓語歌,(2 4 language)
小牛頓,(0 3 audiobook_category)
我想聽無言的歌,(3 7 song)
周杰倫,(0 3 artist)
播費玉清的晚安曲,(1 4 artist) (5 8 song)
我要聽田馥甄的歌,(3 6 artist)
我想要聽周杰倫的告白氣球,(4 7 artist) (8 12 song)
我要聽新歌,(3 5 keyword)
我要聽小野麗莎的歌,(3 7 artist)
許美靜,(0 3 artist)
我要聽熱門歌曲,(3 5 keyword)
我要聽林俊傑的歌,(3 6 artist)
我要聽古典音樂,(3 5 category)
我想聽李白,(3 5 song)
寶貝寶貝,(0 4 song)
我要聽床邊故事,(3 7 audiobook_category)
我要聽日語排行榜,(3 5 language)
我要聽周杰倫的歌,(3 6 artist)
我要聽放鬆的音樂,(3 8 category)
葉倩文的哭砂,(0 3 artist) (4 6 song)
我要聽鬼故事,(3 6 audiobook_category)
播放起風了,(2 5 song)
我要聽蕭煌奇的歌,(3 6 artist)
播放一曲相思,(2 6 song)
我要聽阿飛的小蝴蝶,(3 9 song)
我要聽快樂的音樂,(3 6 song)
我要聽江蕙的歌,(3 5 artist)
沙漠駱駝,(0 4 song)
涼涼,(0 2 song)
我要聽吳卓源的歌,(3 6 artist)
播放一曲相思,(2 6 song)
播放輕音樂,(2 5 category)
我要聽鄧麗君的歌,(3 6 artist)
我要聽失戀排行榜,(5 8 keyword)
我要聽相聲選粹,(3 7 audiobook)
我要聽派對動物,(3 7 song)
我要聽搖滾音樂,(3 5 category)
我要聽愛情的模樣,(3 8 song)
我要聽排行榜,(3 6 keyword)
青雪社教,(0 3 audiobook)
我要聽鄧紫棋的歌,(3 6 artist)
愛我你就抱抱我,(0 7 song)
我要聽鬼故事,(3 6 audiobook_category)
两只老虎,(0 4 song)
我要聽排行榜,(3 6 keyword)
周傳雄,(0 3 artist)
我要聽米津玄師,(3 7 artist)
生僻字,(0 3 song)
我要聽喬幼的歌,(3 5 artist)
我要聽吳卓源的歌,(3 6 artist)
我要聽周杰倫的歌,(3 6 artist)
say say say,(0 3 song)
我要聽新歌排行榜,(5 8 keyword)
我要聽相聲,(3 5 audiobook_category)
我要聽日文歌,(3 5 language)
我要聽鬼故事,(3 6 audiobook_category)
我要聽煙花易冷,(3 7 song)
我要聽鬼故事,(3 6 audiobook_category)
兩隻老虎,(0 4 song)
張宇,(0 2 artist)
我要聽盧廣仲的歌,(3 6 artist)
我要聽伍佰的歌,(3 6 album)
往後餘生,(0 4 song)
學貓叫,(0 3 song)
我要聽張清芳的歌,(3 6 artist)
涼涼,(0 2 song)
播放韓語歌,(2 4 language)
我要聽光年之外,(3 7 song)
播放音樂,(0 4 song)
播放一曲相思,(2 6 song)
播放起風了,(2 5 song)
請播放今年夏天,(3 7 song)
周蕙,(0 2 artist)
我要聽獨立音樂,(3 5 category)
我要聽薛之謙的歌,(3 6 artist)
我要聽日文歌,(3 5 language)
我要聽林俊傑的歌,(3 6 artist)
陳昇,(0 2 artist)
我要聽快樂天堂,(3 7 song)
我要聽林俊傑的歌,(3 6 artist)
我要聽熱門歌曲,(3 5 keyword)
徐懷鈺,(0 3 artist)
我要聽搖滾音樂,(3 5 category)
愛我你就抱抱我,(0 7 song)
我要聽逆光飛翔的主題曲,(8 11 song)
我要聽薛之謙的歌,(3 6 artist)
我要聽張雨生的歌,(3 6 artist)
我要聽宇多田的歌,(5 7 song)
我要聽華語新歌,(3 5 language)
我要聽光年之外,(3 7 song)
我要聽華語音樂,(3 5 language)
我要聽吳卓源的歌,(3 6 artist)
我要聽鬼故事,(3 6 audiobook_category)
我要聽粵語歌,(3 5 language)
我要聽買榜,(3 5 song)
我要聽熱門歌曲,(3 5 keyword)
我要聽費玉清的歌,(3 6 artist)
我要聽盧廣仲的歌,(3 6 artist)
我要聽台語歌,(3 5 language)
播放音樂,(0 4 song)
我要聽烽火天榜,(3 7 song)
我要聽李榮浩的歌,(3 6 artist)
我要聽新歌,(3 5 keyword)
我要聽新歌,(3 5 keyword)
播放起風了,(2 5 song)
我要聽月琴,(3 5 song)
我要聽張雨生的歌,(3 6 artist)
播放一曲相思,(2 6 song)
有一種悲傷,(0 5 song)
我要聽周杰倫的歌,(3 6 artist)
我要聽李榮浩的耳朵,(3 6 artist) (7 9 song)
我要聽于文文的歌,(3 6 artist)
我想聽暖和我的太陽,(5 9 song)
我要聽嘻哈音樂,(3 5 category)
我要聽日語排行榜,(3 5 language)
我要聽蕭敬騰的歌,(3 6 artist)
我要聽買榜,(3 5 song)
我要聽林憶蓮的歌,(3 6 artist)
請播一首江惠儀的歌,(4 7 artist)
周慧敏,(0 3 artist)
播放一曲相思,(2 6 song)
胡彥斌,(0 3 artist)
請幫我計時二十分鐘,(5 9 song)
請小故事,(1 4 song)
我要聽童安格的歌,(3 6 artist)
我要聽蕭敬騰的歌,(3 6 artist)
我要聽蔡依林的歌,(3 6 artist)
我要聽張北北的擁抱你離去,(7 12 song)
涼涼,(0 2 song)
我要聽粵語歌,(3 5 language)
看著張開剪頭髮都說英文怎麼說,(11 14 song)
我要聽天生歌姬,(3 7 album)
我要聽江蕙的歌,(3 5 artist)
我要聽 Alan Walker 的歌,(4 7 artist)
播放一曲相思,(2 6 song)
唱一首小蘋果,(3 6 song)
我要聽日語排行榜,(3 5 language)
我要聽三隻小豬,(3 7 audiobook)
我要聽林俊傑的歌,(3 6 artist)
我要聽蔡依林的歌,(3 6 artist)
我要聽劉德華的歌,(3 6 artist)
我要聽音樂,(0 5 song)
我要聽音樂,(0 5 song)
郭富城,(0 3 artist)
鋼琴音樂,(0 4 artist)
我要聽華語新歌,(3 5 language)
謝金燕,(0 3 artist)
我要聽茄子蛋的歌,(3 6 artist)
涼涼,(0 2 song)
我要聽一百萬個可能,(3 9 song)
唱一首小蘋果,(3 6 song)
白安,(0 2 artist)
擁抱世界擁抱你,(0 7 song)
我要聽嘻哈音樂,(3 5 category)
我要聽吳卓源的歌,(3 6 artist)
我要聽對面的女孩看過來,(3 11 song)
播放一曲相思,(2 6 song)
我要聽王力宏的歌,(3 6 artist)
我要聽周杰倫的歌,(3 6 artist)
我要聽周杰倫的歌,(3 6 artist)
學貓叫,(0 3 song)
我要聽費玉清的歌,(3 6 artist)
我要聽快樂頌,(3 6 song)
我要聽黃明志的歌,(3 6 artist)
我要聽音樂,(0 5 song)
我要聽小野麗莎的歌,(3 7 artist)
請放bt嗨的歌,(2 7 song)
古箏,(0 2 artist)
播放輕音樂,(2 5 category)
唱一首小蘋果,(3 6 song)
萬芳,(0 2 artist)
幫我播放大自然音樂,(4 9 artist)
我要聽 Alan Walker 的歌,(4 7 artist)
我要聽費玉清的歌,(3 6 artist)
涼涼,(0 2 song)
我要聽故事,(0 5 general_audiobook)
我要聽玖壹壹的歌,(3 6 artist)
我要聽爵士音樂,(3 5 category)
我要聽兒歌,(3 5 song)
我要聽熱門歌曲,(3 5 keyword)
播放抒情英文歌,(0 7 song)
我要聽防彈少年團的歌,(3 8 artist)
播放咖啡音樂,(2 6 song)
李千娜的不曾回來過,(0 3 artist) (4 9 song)
我要聽光年之外,(3 7 song)
我要聽于文文的歌,(3 6 artist)
我要聽日文歌,(3 5 language)
我要聽費玉清的歌,(3 6 artist)
我要聽我好嗎,(3 6 song)
播放音樂,(0 4 song)
我,(0 1 song)
我要聽光年之外,(3 7 song)
我要聽留不住的故事,(3 9 song)
烽火天榜,(0 4 song)
三隻小豬,(0 4 audiobook)
我要聽爵士音樂排行榜,(3 5 category) (7 10 keyword)
我要聽日語排行榜,(3 5 language)
涼涼,(0 2 song)
我要聽台語歌,(3 5 language)
我要聽心靈音樂,(3 7 category)
我要聽煙花易冷,(3 7 song)
我要聽薛之謙的歌,(3 6 artist)
我要聽搖滾音樂,(3 5 category)
我要聽林憶蓮的歌,(3 6 artist)
我要聽買榜,(3 5 song)
我要聽古典音樂,(3 5 category)
我要聽光年之外,(3 7 song)
我要聽周杰倫的歌,(3 6 artist)
我要聽鄧麗君的歌,(3 6 artist)
我要聽留不住的故事,(3 9 song)
舞曲舞曲,(0 4 song)
我要聽台語歌,(3 5 language)
我要聽搖滾音樂,(3 5 category)
我要聽搖滾音樂,(3 5 category)
我要聽張韶涵的歌,(3 6 artist)
涼涼,(0 2 song)
播放音樂,(0 4 song)
放音樂,(0 3 song)
我要聽林俊傑的歌,(3 6 artist)
萬芳,(0 2 artist)
姚煜天光,(2 4 song)
我要聽小星星,(3 6 song)
我要聽田馥甄的歌,(3 6 artist)
我要聽李榮浩的歌,(3 6 artist)
我要聽生日快樂歌,(3 8 song)
我要聽買榜,(3 5 song)
我要聽你喜歡我的歌嗎,(3 10 song)
我要聽米希亞的歌,(4 8 song)
我要聽周杰倫的歌,(3 6 artist)
我要聽光年之外,(3 7 song)
我要聽搖滾音樂,(3 5 category)
我要聽于文文的歌,(3 6 artist)
我要聽防彈少年團的歌,(3 8 artist)
播放小紅帽的兒童故事,(6 10 audiobook_category)
我要聽鬼故事,(3 6 audiobook_category)
播放喬治溫室燈的鋼琴歌曲,(8 11 artist)
我要聽孫露的歌,(3 5 artist)
愛我你就抱抱我,(0 7 song)
我要聽梁靜茹的歌,(3 6 artist)
往後餘生,(0 4 song)
我要聽陳綺貞的歌,(3 6 artist)
陳雷,(0 2 artist)
我要聽吳卓源的歌,(3 6 artist)
我要聽紅蜻蜓,(3 6 song)
我要聽爵士音樂,(3 5 category)
Beat it,(0 2 song)
我要聽小野麗莎的歌,(3 7 artist)
我要聽一晃就老了,(3 8 song)
學貓叫,(0 3 song)
我要聽台語歌,(3 5 language)
我要聽煙花易冷,(3 7 song)
音樂繼續,(0 4 song)
我要聽童安格的歌,(3 6 artist)
我要聽新歌,(3 5 keyword)
我要聽睡眠音樂,(3 5 theme)
幫我播潘越雲的歌,(3 6 artist)
播放一曲相思,(2 6 song)
我要聽準備中,(3 6 album)
party配,(0 2 song)
我要聽黃乙玲的歌,(3 6 artist)
大悲咒,(0 3 song)
播放一曲相思,(2 6 song)
我要聽徐佳瑩的歌,(3 6 artist)
我要聽日文歌,(3 5 language)
我要聽粵語歌,(3 5 language)
我要聽蕭敬騰的歌,(3 6 artist)
我要聽新歌,(3 5 keyword)
播放音樂,(0 4 song)
兩隻老虎,(0 4 song)
愛我你就抱抱我,(0 7 song)
龍千玉,(0 3 artist)
我要聽許茹芸的歌,(3 6 artist)
涼涼,(0 2 song)
我要聽走到飛,(3 6 song)
我要聽小野麗莎的歌,(3 7 artist)
阿拉丁主題曲,(3 6 song)
播放起風了,(2 5 song)
我要聽光年之外,(3 7 song)
播放一曲相思,(2 6 song)
我要聽林憶蓮的歌,(3 6 artist)
播放音樂,(0 4 song)
請放音樂,(0 4 theme)
鬼故事,(0 3 audiobook_category)
我要聽孫露的歌,(3 5 artist)
我要聽歪批三國,(3 7 song)
我要聽張信哲的歌,(3 6 artist)
我要聽小蘋果,(3 6 song)
我要聽周杰倫的歌,(3 6 artist)
播放污皂坊風雨情路,(5 9 song)
我要聽童話故事,(3 7 audiobook_category)
我要聽華語新歌,(3 5 language)
播放一曲相思,(2 6 song)
我想聽故事,(0 5 general_audiobook)
我要聽王力宏的歌,(3 6 artist)
播放韓語歌,(2 4 language)
愛我你就抱抱我,(0 7 song)
我要聽爵士音樂,(3 5 category)
我要聽買榜,(3 5 song)
我要聽林俊傑的歌,(3 6 artist)
我要聽有點野,(3 6 album)
幫我播潘越雲的歌,(3 6 artist)
播放韓語歌,(2 4 language)
我要聽節奏藍調音樂,(3 7 category)
我要聽月琴,(3 5 song)
要再放故事,(3 5 category)
我要聽江蕙的歌,(3 5 artist)
我要聽音樂,(0 5 song)
我要聽相聲,(3 5 audiobook_category)
我要聽鄧麗君的歌,(3 6 artist)
吳宗憲,(0 3 artist)
我要聽鬼故事,(3 6 audiobook_category)
我要聽煙花易冷,(3 7 song)
我要聽吳卓源的歌,(3 6 artist)
播放陳柯宇的歌,(2 5 artist)
我要聽音樂,(0 5 song)
我要聽華語音樂,(3 5 language)
我要聽華語新歌,(3 5 language)
愛我你就抱抱我,(0 7 song)
我要聽粵語歌,(3 5 language)
我想聽快樂情境的歌,(3 5 theme)
我要聽費玉清的歌,(3 6 artist)
我要聽孫悟空觸犯天條,(3 10 audiobook)
兩隻老虎,(0 4 song)
柴可夫斯基的,(0 5 song)
學貓叫,(0 3 song)
我要聽琅琊榜,(3 6 song)
我要聽光年之外,(3 7 song)
愛我你就抱抱我,(0 7 song)
播放音樂,(0 4 song)
唱一首小蘋果,(3 6 song)
愛我你就抱抱我,(0 7 song)
我要聽吳卓源的歌,(3 6 artist)
我要聽熱門歌曲,(3 5 keyword)
追追追,(0 3 song)
我要聽蕭敬騰的歌,(3 6 artist)
我要聽林俊傑的歌,(3 6 artist)
我要聽走到飛,(3 6 song)
我要聽粵語歌,(3 5 language)
我要聽把悲傷留給自己,(3 10 song)
播放蔡依林的你也有今天,(2 5 artist) (6 11 song)
兩隻老虎,(0 4 song)
我要聽你喜歡我的歌嗎,(3 10 song)
我要聽 ONE OK ROCK 的歌,(4 9 artist)
阿拉丁電影原聲帶,(3 5 song)
我要聽王傑的歌,(3 5 artist)
我要聽新歌,(3 5 keyword)
我要聽爵士音樂,(3 5 category)
我要聽橄欖樹,(3 6 song)
胡彥斌,(0 3 artist)
我要聽你喜歡我的歌嗎,(3 10 song)
我要聽節奏藍調音樂,(3 7 category)
給狗狗鼓掌一下,(5 7 song)
下雨天適合聽的歌曲,(0 3 theme)
張信哲怎麼了,(0 3 artist) (4 6 song)
我要聽新歌,(3 5 keyword)
往後餘生,(0 4 song)
鐵達尼號,(0 4 song)
我要聽八度空間,(3 7 album)
我要聽國語老歌,(3 5 language)
我要聽煙花易冷,(3 7 song)
我要聽相聲,(3 5 audiobook_category)
我要聽王力宏的歌,(3 6 artist)
我要聽李千娜的歌,(3 6 artist)
我要聽光年之外,(3 7 song)
費玉清的一剪梅,(0 3 artist) (4 7 song)
熱門歌曲,(0 2 keyword)
我要聽林俊傑的歌,(3 6 artist)
游鴻明,(0 3 artist)
我想聽熱門歌,(3 5 keyword)
我要聽光年之外,(3 7 song)
我要聽田馥甄的歌,(3 6 artist)
我要聽快樂的音樂,(3 6 song)
我要聽華語音樂,(3 5 language)
我要聽浪漫的音樂,(3 5 theme)
我要聽英文版綠野仙蹤,(3 10 audiobook)
我要聽粵語歌,(3 5 language)
我要聽相聲,(3 5 audiobook_category)
我要聽小野麗莎的歌,(3 7 artist)
我要聽搖滾音樂,(3 5 category)
外面明明最好在下雨你為什麼一直說沒有,(7 9 theme)
播放一曲相思,(2 6 song)
我要聽華語新歌,(3 5 language)
我要聽華語新歌,(3 5 language)
我要聽橄欖樹,(3 6 song)
我要聽走到飛,(3 6 song)
我要聽周華健的歌,(3 6 artist)
我要聽買榜,(3 5 song)
我要聽陳綺貞的歌,(3 6 artist)
我要聽走到飛,(3 6 song)
有聲書,(0 3 general_audiobook)
我要聽田馥甄的歌,(3 6 artist)
播放起風了,(2 5 song)
跟我說個白雪公主故事,(4 8 audiobook)
學貓叫,(0 3 song)
我要聽心情不好的時候適合聽的歌曲,(3 7 theme)
我要聽英文版拇指姑娘,(3 10 audiobook)
涼涼,(0 2 song)
愛我你就抱抱我,(0 7 song)
我要聽陳綺貞的歌,(3 6 artist)
我要聽張雨生的歌,(3 6 artist)
播放五月,(2 4 album)
沙漠駱駝,(0 4 song)
綠色,(0 2 song)
學貓叫,(0 3 song)
黃鶯鶯,(0 3 artist)
我要聽新歌,(3 5 keyword)
我要聽鬼故事,(3 6 audiobook_category)
孫露的月光小夜曲,(0 2 artist) (3 8 song)
幫我播winner的歌,(3 6 song)
我要聽華語新歌,(3 5 language)
我要聽新歌排行榜,(5 8 keyword)
少年冒險王,(0 5 audiobook_category)
